source_text,target_text
"Alice was not a bit hurt, and she jumped up on to her feet in a moment
she looked up, but it was all dark overhead before her was another
long passage, and the White Rabbit was still in sight, hurrying down
it. There was not a moment to be lost away went Alice like the wind,
and was just in time to hear it say, as it turned a corner, Oh my ears
and whiskers, how late its getting! She was close behind it when she
turned the corner, but the Rabbit was no longer to be seen she found
herself in a long, low hall, which was lit up by a row of lamps hanging
from the roof.",Summarize this paragraph.
"There were doors all round the hall, but they were all locked and when
Alice had been all the way down one side and up the other, trying every
door, she walked sadly down the middle, wondering how she was ever to
get out again.",Summarize this paragraph.
"Suddenly she came upon a little three-legged table, all made of solid
glass there was nothing on it except a tiny golden key, and Alices
first thought was that it might belong to one of the doors of the hall
but, alas! either the locks were too large, or the key was too small,
but at any rate it would not open any of them. However, on the second
time round, she came upon a low curtain she had not noticed before, and
behind it was a little door about fifteen inches high she tried the
little golden key in the lock, and to her great delight it fitted!",Summarize this paragraph.
"Alice opened the door and found that it led into a small passage, not
much larger than a rat-hole she knelt down and looked along the
passage into the loveliest garden you ever saw. How she longed to get
out of that dark hall, and wander about among those beds of bright
flowers and those cool fountains, but she could not even get her head
through the doorway and even if my head would go through, thought
poor Alice, it would be of very little use without my shoulders. Oh,
how I wish I could shut up like a telescope! I think I could, if I only
knew how to begin. For, you see, so many out-of-the-way things had
happened lately, that Alice had begun to think that very few things
indeed were really impossible.",Summarize this paragraph.
"There seemed to be no use in waiting by the little door, so she went
back to the table, half hoping she might find another key on it, or at
any rate a book of rules for shutting people up like telescopes this
time she found a little bottle on it, which certainly was not here
before, said Alice, and round the neck of the bottle was a paper
label, with the words DRINK ME, beautifully printed on it in large
letters.",Summarize this paragraph.
"It was all very well to say Drink me, but the wise little Alice was
not going to do _that_ in a hurry. No, Ill look first, she said,
and see whether its marked _poison_ or not for she had read
several nice little histories about children who had got burnt, and
eaten up by wild beasts and other unpleasant things, all because they
_would_ not remember the simple rules their friends had taught them
such as, that a red-hot poker will burn you if you hold it too long
and that if you cut your finger _very_ deeply with a knife, it usually
bleeds and she had never forgotten that, if you drink much from a
bottle marked poison, it is almost certain to disagree with you,
sooner or later.",Summarize this paragraph.
"However, this bottle was _not_ marked poison, so Alice ventured to
taste it, and finding it very nice, it had, in fact, a sort of mixed
flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and
hot buttered toast, she very soon finished it off.",Summarize this paragraph.
                                    ,Summarize this paragraph.
                              ,Summarize this paragraph.
                                    ,Summarize this paragraph.
"What a curious feeling! said Alice I must be shutting up like a
telescope.",Summarize this paragraph.
"And so it was indeed she was now only ten inches high, and her face
brightened up at the thought that she was now the right size for going
through the little door into that lovely garden. First, however, she
waited for a few minutes to see if she was going to shrink any further
she felt a little nervous about this for it might end, you know,
said Alice to herself, in my going out altogether, like a candle. I
wonder what I should be like then? And she tried to fancy what the
flame of a candle is like after the candle is blown out, for she could
not remember ever having seen such a thing.",Summarize this paragraph.
"After a while, finding that nothing more happened, she decided on going
into the garden at once but, alas for poor Alice! when she got to the
door, she found she had forgotten the little golden key, and when she
went back to the table for it, she found she could not possibly reach
it she could see it quite plainly through the glass, and she tried her
best to climb up one of the legs of the table, but it was too slippery
and when she had tired herself out with trying, the poor little thing
sat down and cried.",Summarize this paragraph.
"Come, theres no use in crying like that! said Alice to herself,
rather sharply I advise you to leave off this minute! She generally
gave herself very good advice, though she very seldom followed it,
and sometimes she scolded herself so severely as to bring tears into
her eyes and once she remembered trying to box her own ears for having
cheated herself in a game of croquet she was playing against herself,
for this curious child was very fond of pretending to be two people.
But its no use now, thought poor Alice, to pretend to be two
people! Why, theres hardly enough of me left to make _one_ respectable
person!",Summarize this paragraph.
"Soon her eye fell on a little glass box that was lying under the table
she opened it, and found in it a very small cake, on which the words
EAT ME were beautifully marked in currants. Well, Ill eat it, said
Alice, and if it makes me grow larger, I can reach the key and if it
makes me grow smaller, I can creep under the door so either way Ill
get into the garden, and I dont care which happens!",Summarize this paragraph.
"She ate a little bit, and said anxiously to herself, Which way? Which
way?, holding her hand on the top of her head to feel which way it was
growing, and she was quite surprised to find that she remained the same
size to be sure, this generally happens when one eats cake, but Alice
had got so much into the way of expecting nothing but out-of-the-way
things to happen, that it seemed quite dull and stupid for life to go
on in the common way.",Summarize this paragraph.
"So she set to work, and very soon finished off the cake.",Summarize this paragraph.
                                    ,Summarize this paragraph.
                              ,Summarize this paragraph.
                                    ,Summarize this paragraph.
"Curiouser and curiouser! cried Alice she was so much surprised, that
for the moment she quite forgot how to speak good English now Im
opening out like the largest telescope that ever was! Good-bye, feet!
for when she looked down at her feet, they seemed to be almost out of
sight, they were getting so far off. Oh, my poor little feet, I
wonder who will put on your shoes and stockings for you now, dears? Im
sure _I_ shant be able! I shall be a great deal too far off to trouble
myself about you you must manage the best way you canbut I must be
kind to them, thought Alice, or perhaps they wont walk the way I
want to go! Let me see Ill give them a new pair of boots every
Christmas.",Summarize this paragraph.
"And she went on planning to herself how she would manage it. They must
go by the carrier, she thought and how funny itll seem, sending
presents to ones own feet! And how odd the directions will look!",Summarize this paragraph.
"_Alices Right Foot, Esq., Hearthrug, near the Fender,_ _with
     Alices love_.",Summarize this paragraph.
"Oh dear, what nonsense Im talking!",Summarize this paragraph.
"Just then her head struck against the roof of the hall in fact she was
now more than nine feet high, and she at once took up the little golden
key and hurried off to the garden door.",Summarize this paragraph.
"Poor Alice! It was as much as she could do, lying down on one side, to
look through into the garden with one eye but to get through was more
hopeless than ever she sat down and began to cry again.",Summarize this paragraph.
"You ought to be ashamed of yourself, said Alice, a great girl like
you, she might well say this, to go on crying in this way! Stop
this moment, I tell you! But she went on all the same, shedding
gallons of tears, until there was a large pool all round her, about
four inches deep and reaching half down the hall.",Summarize this paragraph.
"After a time she heard a little pattering of feet in the distance, and
she hastily dried her eyes to see what was coming. It was the White
Rabbit returning, splendidly dressed, with a pair of white kid gloves
in one hand and a large fan in the other he came trotting along in a
great hurry, muttering to himself as he came, Oh! the Duchess, the
Duchess! Oh! wont she be savage if Ive kept her waiting! Alice felt
so desperate that she was ready to ask help of any one so, when the
Rabbit came near her, she began, in a low, timid voice, If you please,
sir The Rabbit started violently, dropped the white kid gloves and
the fan, and skurried away into the darkness as hard as he could go.",Summarize this paragraph.
"Alice took up the fan and gloves, and, as the hall was very hot, she
kept fanning herself all the time she went on talking Dear, dear! How
queer everything is to-day! And yesterday things went on just as usual.
I wonder if Ive been changed in the night? Let me think was I the
same when I got up this morning? I almost think I can remember feeling
a little different. But if Im not the same, the next question is, Who
in the world am I? Ah, _thats_ the great puzzle! And she began
thinking over all the children she knew that were of the same age as
herself, to see if she could have been changed for any of them.",Summarize this paragraph.
"Im sure Im not Ada, she said, for her hair goes in such long
ringlets, and mine doesnt go in ringlets at all and Im sure I cant
be Mabel, for I know all sorts of things, and she, oh! she knows such a
very little! Besides, _shes_ she, and _Im_ I, andoh dear, how
puzzling it all is! Ill try if I know all the things I used to know.
Let me see four times five is twelve, and four times six is thirteen,
and four times seven isoh dear! I shall never get to twenty at that
rate! However, the Multiplication Table doesnt signify lets try
Geography. London is the capital of Paris, and Paris is the capital of
Rome, and Romeno, _thats_ all wrong, Im certain! I must have been
changed for Mabel! Ill try and say _How doth the little_ and she
crossed her hands on her lap as if she were saying lessons, and began
to repeat it, but her voice sounded hoarse and strange, and the words
did not come the same as they used to do",Summarize this paragraph.
"How doth the little crocodile
    Improve his shining tail,
And pour the waters of the Nile
    On every golden scale!",Summarize this paragraph.
"How cheerfully he seems to grin,
    How neatly spread his claws,
And welcome little fishes in
    With gently smiling jaws!",Summarize this paragraph.
"Im sure those are not the right words, said poor Alice, and her eyes
filled with tears again as she went on, I must be Mabel after all, and
I shall have to go and live in that poky little house, and have next to
no toys to play with, and oh! ever so many lessons to learn! No, Ive
made up my mind about it if Im Mabel, Ill stay down here! Itll be
no use their putting their heads down and saying Come up again, dear!
I shall only look up and say Who am I then? Tell me that first, and
then, if I like being that person, Ill come up if not, Ill stay down
here till Im somebody elsebut, oh dear! cried Alice, with a sudden
burst of tears, I do wish they _would_ put their heads down! I am so
_very_ tired of being all alone here!",Summarize this paragraph.
"As she said this she looked down at her hands, and was surprised to see
that she had put on one of the Rabbits little white kid gloves while
she was talking. How _can_ I have done that? she thought. I must be
growing small again. She got up and went to the table to measure
herself by it, and found that, as nearly as she could guess, she was
now about two feet high, and was going on shrinking rapidly she soon
found out that the cause of this was the fan she was holding, and she
dropped it hastily, just in time to avoid shrinking away altogether.",Summarize this paragraph.
"That _was_ a narrow escape! said Alice, a good deal frightened at the
sudden change, but very glad to find herself still in existence and
now for the garden! and she ran with all speed back to the little
door but, alas! the little door was shut again, and the little golden
key was lying on the glass table as before, and things are worse than
ever, thought the poor child, for I never was so small as this
before, never! And I declare its too bad, that it is!",Summarize this paragraph.
"As she said these words her foot slipped, and in another moment,
splash! she was up to her chin in salt water. Her first idea was that
she had somehow fallen into the sea, and in that case I can go back by
railway, she said to herself. Alice had been to the seaside once in
her life, and had come to the general conclusion, that wherever you go
to on the English coast you find a number of bathing machines in the
sea, some children digging in the sand with wooden spades, then a row
of lodging houses, and behind them a railway station. However, she
soon made out that she was in the pool of tears which she had wept when
she was nine feet high.",Summarize this paragraph.
"I wish I hadnt cried so much! said Alice, as she swam about, trying
to find her way out. I shall be punished for it now, I suppose, by
being drowned in my own tears! That _will_ be a queer thing, to be
sure! However, everything is queer to-day.",Summarize this paragraph.
"Just then she heard something splashing about in the pool a little way
off, and she swam nearer to make out what it was at first she thought
it must be a walrus or hippopotamus, but then she remembered how small
she was now, and she soon made out that it was only a mouse that had
slipped in like herself.",Summarize this paragraph.
"Would it be of any use, now, thought Alice, to speak to this mouse?
Everything is so out-of-the-way down here, that I should think very
likely it can talk at any rate, theres no harm in trying. So she
began O Mouse, do you know the way out of this pool? I am very tired
of swimming about here, O Mouse! Alice thought this must be the right
way of speaking to a mouse she had never done such a thing before, but
she remembered having seen in her brothers Latin Grammar, A mouseof
a mouseto a mousea mouseO mouse! The Mouse looked at her rather
inquisitively, and seemed to her to wink with one of its little eyes,
but it said nothing.",Summarize this paragraph.
"Perhaps it doesnt understand English, thought Alice I daresay its
a French mouse, come over with William the Conqueror. For, with all
her knowledge of history, Alice had no very clear notion how long ago
anything had happened. So she began again Où est ma chatte? which
was the first sentence in her French lesson-book. The Mouse gave a
sudden leap out of the water, and seemed to quiver all over with
fright. Oh, I beg your pardon! cried Alice hastily, afraid that she
had hurt the poor animals feelings. I quite forgot you didnt like
cats.",Summarize this paragraph.
"Not like cats! cried the Mouse, in a shrill, passionate voice. Would
_you_ like cats if you were me?",Summarize this paragraph.
"Well, perhaps not, said Alice in a soothing tone dont be angry
about it. And yet I wish I could show you our cat Dinah I think youd
take a fancy to cats if you could only see her. She is such a dear
quiet thing, Alice went on, half to herself, as she swam lazily about
in the pool, and she sits purring so nicely by the fire, licking her
paws and washing her faceand she is such a nice soft thing to
nurseand shes such a capital one for catching miceoh, I beg your
pardon! cried Alice again, for this time the Mouse was bristling all
over, and she felt certain it must be really offended. We wont talk
about her any more if youd rather not.",Summarize this paragraph.
"We indeed! cried the Mouse, who was trembling down to the end of his
tail. As if _I_ would talk on such a subject! Our family always
_hated_ cats nasty, low, vulgar things! Dont let me hear the name
again!",Summarize this paragraph.
"I wont indeed! said Alice, in a great hurry to change the subject of
conversation. Are youare you fondofof dogs? The Mouse did not
answer, so Alice went on eagerly There is such a nice little dog near
our house I should like to show you! A little bright-eyed terrier, you
know, with oh, such long curly brown hair! And itll fetch things when
you throw them, and itll sit up and beg for its dinner, and all sorts
of thingsI cant remember half of themand it belongs to a farmer, you
know, and he says its so useful, its worth a hundred pounds! He says
it kills all the rats andoh dear! cried Alice in a sorrowful tone,
Im afraid Ive offended it again! For the Mouse was swimming away
from her as hard as it could go, and making quite a commotion in the
pool as it went.",Summarize this paragraph.
"So she called softly after it, Mouse dear! Do come back again, and we
wont talk about cats or dogs either, if you dont like them! When the
Mouse heard this, it turned round and swam slowly back to her its face
was quite pale with passion, Alice thought, and it said in a low
trembling voice, Let us get to the shore, and then Ill tell you my
history, and youll understand why it is I hate cats and dogs.",Summarize this paragraph.
"It was high time to go, for the pool was getting quite crowded with the
birds and animals that had fallen into it there were a Duck and a
Dodo, a Lory and an Eaglet, and several other curious creatures. Alice
led the way, and the whole party swam to the shore.",Summarize this paragraph.
"They were indeed a queer-looking party that assembled on the bankthe
birds with draggled feathers, the animals with their fur clinging close
to them, and all dripping wet, cross, and uncomfortable.",Summarize this paragraph.
"The first question of course was, how to get dry again they had a
consultation about this, and after a few minutes it seemed quite
natural to Alice to find herself talking familiarly with them, as if
she had known them all her life. Indeed, she had quite a long argument
with the Lory, who at last turned sulky, and would only say, I am
older than you, and must know better and this Alice would not allow
without knowing how old it was, and, as the Lory positively refused to
tell its age, there was no more to be said.",Summarize this paragraph.
"At last the Mouse, who seemed to be a person of authority among them,
called out, Sit down, all of you, and listen to me! _Ill_ soon make
you dry enough! They all sat down at once, in a large ring, with the
Mouse in the middle. Alice kept her eyes anxiously fixed on it, for she
felt sure she would catch a bad cold if she did not get dry very soon.",Summarize this paragraph.
"Ahem! said the Mouse with an important air, are you all ready? This
is the driest thing I know. Silence all round, if you please! William
the Conqueror, whose cause was favoured by the pope, was soon submitted
to by the English, who wanted leaders, and had been of late much
accustomed to usurpation and conquest. Edwin and Morcar, the earls of
Mercia and Northumbria",Summarize this paragraph.
"Ugh! said the Lory, with a shiver.",Summarize this paragraph.
"I beg your pardon! said the Mouse, frowning, but very politely Did
you speak?",Summarize this paragraph.
Not I! said the Lory hastily.,Summarize this paragraph.
"I thought you did, said the Mouse. I proceed. Edwin and Morcar,
the earls of Mercia and Northumbria, declared for him and even
Stigand, the patriotic archbishop of Canterbury, found it advisable",Summarize this paragraph.
Found _what_? said the Duck.,Summarize this paragraph.
"Found _it_, the Mouse replied rather crossly of course you know
what it means.",Summarize this paragraph.
"I know what it means well enough, when _I_ find a thing, said the
Duck its generally a frog or a worm. The question is, what did the
archbishop find?",Summarize this paragraph.
"The Mouse did not notice this question, but hurriedly went on, found
it advisable to go with Edgar Atheling to meet William and offer him
the crown. Williams conduct at first was moderate. But the insolence
of his Normans How are you getting on now, my dear? it continued,
turning to Alice as it spoke.",Summarize this paragraph.
"As wet as ever, said Alice in a melancholy tone it doesnt seem to
dry me at all.",Summarize this paragraph.
"In that case, said the Dodo solemnly, rising to its feet, I move
that the meeting adjourn, for the immediate adoption of more energetic
remedies",Summarize this paragraph.
"Speak English! said the Eaglet. I dont know the meaning of half
those long words, and, whats more, I dont believe you do either! And
the Eaglet bent down its head to hide a smile some of the other birds
tittered audibly.",Summarize this paragraph.
"What I was going to say, said the Dodo in an offended tone, was,
that the best thing to get us dry would be a Caucus-race.",Summarize this paragraph.
"What _is_ a Caucus-race? said Alice not that she wanted much to
know, but the Dodo had paused as if it thought that _somebody_ ought to
speak, and no one else seemed inclined to say anything.",Summarize this paragraph.
"Why, said the Dodo, the best way to explain it is to do it. And,
as you might like to try the thing yourself, some winter day, I will
tell you how the Dodo managed it.",Summarize this paragraph.
"First it marked out a race-course, in a sort of circle, the exact
shape doesnt matter, it said, and then all the party were placed
along the course, here and there. There was no One, two, three, and
away, but they began running when they liked, and left off when they
liked, so that it was not easy to know when the race was over. However,
when they had been running half an hour or so, and were quite dry
again, the Dodo suddenly called out The race is over! and they all
crowded round it, panting, and asking, But who has won?",Summarize this paragraph.
"This question the Dodo could not answer without a great deal of
thought, and it sat for a long time with one finger pressed upon its
forehead the position in which you usually see Shakespeare, in the
pictures of him, while the rest waited in silence. At last the Dodo
said, _Everybody_ has won, and all must have prizes.",Summarize this paragraph.
But who is to give the prizes? quite a chorus of voices asked.,Summarize this paragraph.
"Why, _she_, of course, said the Dodo, pointing to Alice with one
finger and the whole party at once crowded round her, calling out in a
confused way, Prizes! Prizes!",Summarize this paragraph.
"Alice had no idea what to do, and in despair she put her hand in her
pocket, and pulled out a box of comfits, luckily the salt water had
not got into it, and handed them round as prizes. There was exactly
one a-piece, all round.",Summarize this paragraph.
"But she must have a prize herself, you know, said the Mouse.",Summarize this paragraph.
"Of course, the Dodo replied very gravely. What else have you got in
your pocket? he went on, turning to Alice.",Summarize this paragraph.
"Only a thimble, said Alice sadly.",Summarize this paragraph.
"Hand it over here, said the Dodo.",Summarize this paragraph.
"Then they all crowded round her once more, while the Dodo solemnly
presented the thimble, saying We beg your acceptance of this elegant
thimble and, when it had finished this short speech, they all
cheered.",Summarize this paragraph.
"Alice thought the whole thing very absurd, but they all looked so grave
that she did not dare to laugh and, as she could not think of anything
to say, she simply bowed, and took the thimble, looking as solemn as
she could.",Summarize this paragraph.
"The next thing was to eat the comfits this caused some noise and
confusion, as the large birds complained that they could not taste
theirs, and the small ones choked and had to be patted on the back.
However, it was over at last, and they sat down again in a ring, and
begged the Mouse to tell them something more.",Summarize this paragraph.
"You promised to tell me your history, you know, said Alice, and why
it is you hateC and D, she added in a whisper, half afraid that it
would be offended again.",Summarize this paragraph.
"Mine is a long and a sad tale! said the Mouse, turning to Alice, and
sighing.",Summarize this paragraph.
"It _is_ a long tail, certainly, said Alice, looking down with wonder
at the Mouses tail but why do you call it sad? And she kept on
puzzling about it while the Mouse was speaking, so that her idea of the
tale was something like this",Summarize this paragraph.
"Fury said to a mouse, That he met in the house, Let us both
         go to law _I_ will prosecute _you_.Come, Ill take no
         denial We must have a trial For really this morning Ive
         nothing to do. Said the mouse to the cur, Such a trial, dear
         sir, With no jury or judge, would be wasting our breath.
         Ill be judge, Ill be jury, Said cunning old Fury Ill
         try the whole cause, and condemn you to death.",Summarize this paragraph.
"You are not attending! said the Mouse to Alice severely. What are
you thinking of?",Summarize this paragraph.
"I beg your pardon, said Alice very humbly you had got to the fifth
bend, I think?",Summarize this paragraph.
"I had _not!_ cried the Mouse, sharply and very angrily.",Summarize this paragraph.
"A knot! said Alice, always ready to make herself useful, and looking
anxiously about her. Oh, do let me help to undo it!",Summarize this paragraph.
"I shall do nothing of the sort, said the Mouse, getting up and
walking away. You insult me by talking such nonsense!",Summarize this paragraph.
"I didnt mean it! pleaded poor Alice. But youre so easily offended,
you know!",Summarize this paragraph.
The Mouse only growled in reply.,Summarize this paragraph.
"Please come back and finish your story! Alice called after it and
the others all joined in chorus, Yes, please do! but the Mouse only
shook its head impatiently, and walked a little quicker.",Summarize this paragraph.
"What a pity it wouldnt stay! sighed the Lory, as soon as it was
quite out of sight and an old Crab took the opportunity of saying to
her daughter Ah, my dear! Let this be a lesson to you never to lose
_your_ temper! Hold your tongue, Ma! said the young Crab, a little
snappishly. Youre enough to try the patience of an oyster!",Summarize this paragraph.
"I wish I had our Dinah here, I know I do! said Alice aloud,
addressing nobody in particular. Shed soon fetch it back!",Summarize this paragraph.
"And who is Dinah, if I might venture to ask the question? said the
Lory.",Summarize this paragraph.
"Alice replied eagerly, for she was always ready to talk about her pet
Dinahs our cat. And shes such a capital one for catching mice you
cant think! And oh, I wish you could see her after the birds! Why,
shell eat a little bird as soon as look at it!",Summarize this paragraph.
"This speech caused a remarkable sensation among the party. Some of the
birds hurried off at once one old Magpie began wrapping itself up very
carefully, remarking, I really must be getting home the night-air
doesnt suit my throat! and a Canary called out in a trembling voice
to its children, Come away, my dears! Its high time you were all in
bed! On various pretexts they all moved off, and Alice was soon left
alone.",Summarize this paragraph.
"I wish I hadnt mentioned Dinah! she said to herself in a melancholy
tone. Nobody seems to like her, down here, and Im sure shes the best
cat in the world! Oh, my dear Dinah! I wonder if I shall ever see you
any more! And here poor Alice began to cry again, for she felt very
lonely and low-spirited. In a little while, however, she again heard a
little pattering of footsteps in the distance, and she looked up
eagerly, half hoping that the Mouse had changed his mind, and was
coming back to finish his story.",Summarize this paragraph.
"It was the White Rabbit, trotting slowly back again, and looking
anxiously about as it went, as if it had lost something and she heard
it muttering to itself The Duchess! The Duchess! Oh my dear paws! Oh
my fur and whiskers! Shell get me executed, as sure as ferrets are
ferrets! Where _can_ I have dropped them, I wonder? Alice guessed in a
moment that it was looking for the fan and the pair of white kid
gloves, and she very good-naturedly began hunting about for them, but
they were nowhere to be seeneverything seemed to have changed since
her swim in the pool, and the great hall, with the glass table and the
little door, had vanished completely.",Summarize this paragraph.
"Very soon the Rabbit noticed Alice, as she went hunting about, and
called out to her in an angry tone, Why, Mary Ann, what _are_ you
doing out here? Run home this moment, and fetch me a pair of gloves and
a fan! Quick, now! And Alice was so much frightened that she ran off
at once in the direction it pointed to, without trying to explain the
mistake it had made.",Summarize this paragraph.
"He took me for his housemaid, she said to herself as she ran. How
surprised hell be when he finds out who I am! But Id better take him
his fan and glovesthat is, if I can find them. As she said this, she
came upon a neat little house, on the door of which was a bright brass
plate with the name W. RABBIT, engraved upon it. She went in without
knocking, and hurried upstairs, in great fear lest she should meet the
real Mary Ann, and be turned out of the house before she had found the
fan and gloves.",Summarize this paragraph.
"How queer it seems, Alice said to herself, to be going messages for
a rabbit! I suppose Dinahll be sending me on messages next! And she
began fancying the sort of thing that would happen Miss Alice! Come
here directly, and get ready for your walk! Coming in a minute,
nurse! But Ive got to see that the mouse doesnt get out. Only I
dont think, Alice went on, that theyd let Dinah stop in the house
if it began ordering people about like that!",Summarize this paragraph.
"By this time she had found her way into a tidy little room with a table
in the window, and on it as she had hoped a fan and two or three
pairs of tiny white kid gloves she took up the fan and a pair of the
gloves, and was just going to leave the room, when her eye fell upon a
little bottle that stood near the looking-glass. There was no label
this time with the words DRINK ME, but nevertheless she uncorked it
and put it to her lips. I know _something_ interesting is sure to
happen, she said to herself, whenever I eat or drink anything so
Ill just see what this bottle does. I do hope itll make me grow large
again, for really Im quite tired of being such a tiny little thing!",Summarize this paragraph.
"It did so indeed, and much sooner than she had expected before she had
drunk half the bottle, she found her head pressing against the ceiling,
and had to stoop to save her neck from being broken. She hastily put
down the bottle, saying to herself Thats quite enoughI hope I shant
grow any moreAs it is, I cant get out at the doorI do wish I hadnt
drunk quite so much!",Summarize this paragraph.
"Alas! it was too late to wish that! She went on growing, and growing,
and very soon had to kneel down on the floor in another minute there
was not even room for this, and she tried the effect of lying down with
one elbow against the door, and the other arm curled round her head.
Still she went on growing, and, as a last resource, she put one arm out
of the window, and one foot up the chimney, and said to herself Now I
can do no more, whatever happens. What _will_ become of me?",Summarize this paragraph.
"Luckily for Alice, the little magic bottle had now had its full effect,
and she grew no larger still it was very uncomfortable, and, as there
seemed to be no sort of chance of her ever getting out of the room
again, no wonder she felt unhappy.",Summarize this paragraph.
"It was much pleasanter at home, thought poor Alice, when one wasnt
always growing larger and smaller, and being ordered about by mice and
rabbits. I almost wish I hadnt gone down that rabbit-holeand yetand
yetits rather curious, you know, this sort of life! I do wonder what
_can_ have happened to me! When I used to read fairy-tales, I fancied
that kind of thing never happened, and now here I am in the middle of
one! There ought to be a book written about me, that there ought! And
when I grow up, Ill write onebut Im grown up now, she added in a
sorrowful tone at least theres no room to grow up any more _here_.",Summarize this paragraph.
"But then, thought Alice, shall I _never_ get any older than I am
now? Thatll be a comfort, one waynever to be an old womanbut
thenalways to have lessons to learn! Oh, I shouldnt like _that!_",Summarize this paragraph.
"Oh, you foolish Alice! she answered herself. How can you learn
lessons in here? Why, theres hardly room for _you_, and no room at all
for any lesson-books!",Summarize this paragraph.
"And so she went on, taking first one side and then the other, and
making quite a conversation of it altogether but after a few minutes
she heard a voice outside, and stopped to listen.",Summarize this paragraph.
"Mary Ann! Mary Ann! said the voice. Fetch me my gloves this moment!
Then came a little pattering of feet on the stairs. Alice knew it was
the Rabbit coming to look for her, and she trembled till she shook the
house, quite forgetting that she was now about a thousand times as
large as the Rabbit, and had no reason to be afraid of it.",Summarize this paragraph.
"Presently the Rabbit came up to the door, and tried to open it but, as
the door opened inwards, and Alices elbow was pressed hard against it,
that attempt proved a failure. Alice heard it say to itself Then Ill
go round and get in at the window.",Summarize this paragraph.
